lat,lon,status,confidence
2625.5,1347.5,Alive,0.3375
2901.5,829.5,Alive,0.7786111111111111
1724.5,2415.5,Dead,0.0
2881.5,805.5,Alive,0.7772222222222223
2487.5,159.5,Alive,0.8952777777777777
1343.5,482.5,Alive,0.7686111111111111
640.5,1346.5,Dead,0.0
2805.5,2933.5,Dead,0.0
2333.5,163.5,Alive,0.3125
2966.5,791.5,Alive,0.8252777777777778
1437.5,2426.5,Dead,0.0
1481.5,304.5,Alive,0.7738888888888888
1982.5,2237.5,Dead,0.0
2725.5,1147.5,Alive,0.7719444444444444
962.5,3837.5,Dead,0.0
2503.5,593.5,Alive,0.5333333333333333
1160.5,2443.5,Dead,0.0
2203.5,289.5,Alive,0.5236111111111111
2681.5,362.5,Alive,0.5002777777777778
1064.5,2911.5,Dead,0.0
567.5,1341.5,Dead,0.0
1886.5,2405.5,Dead,0.0
757.5,1723.5,Dead,0.0
676.5,88.5,Alive,0.7291666666666666
2966.5,740.5,Alive,0.6480555555555556
38.5,1375.5,Dead,0.0
2356.5,2230.5,Dead,0.0
1521.5,2259.5,Dead,0.0
2597.5,603.5,Alive,0.7608333333333334
1168.5,2530.5,Dead,0.0
2577.5,256.5,Alive,0.49972222222222223
1261.5,787.5,Alive,0.9738888888888889
2181.5,2737.5,Dead,0.0
1623.5,2607.5,Dead,0.0
779.5,2551.5,Dead,0.0
2863.5,849.5,Alive,0.7916666666666666
610.5,155.5,Alive,0.8519444444444444
1279.5,904.5,Alive,0.8725
692.5,2819.5,Dead,0.0
393.5,1557.5,Dead,0.0
633.5,237.5,Alive,0.7958333333333333
2179.5,39.5,Alive,0.5966666666666667
1295.5,172.5,Alive,0.37027777777777776
1844.5,1105.5,Alive,0.6363888888888889
2626.5,3818.5,Dead,0.0
2428.5,2777.5,Dead,0.0
2453.5,2588.5,Dead,0.0
867.5,1815.5,Dead,0.0
2441.5,1845.5,Dead,0.0
2744.5,2853.5,Dead,0.0
1695.5,1883.5,Dead,0.0
2920.5,2756.5,Dead,0.0
2206.5,219.5,Alive,0.5975
2643.5,319.5,Alive,0.5733333333333334
2815.5,1477.5,Dead,0.0
907.5,520.5,Alive,0.41
356.5,770.5,Dead,0.0
2353.5,2411.5,Dead,0.0
1732.5,1141.5,Alive,0.24694444444444444
2176.5,782.5,Dead,0.0
379.5,1929.5,Dead,0.0
2145.5,1324.5,Dead,0.0
2177.5,2223.5,Dead,0.0
2259.5,248.5,Alive,0.6391666666666667
